GemStone/S,http://gemtalksystems.com/,,
GenieDB,http://www.geniedb.com/,,
GenomicsDB,https://github.com/Intel-HLS/GenomicsDB,,
Giraph,http://giraph.apache.org/,,
GlobalsDB,http://globalsdb.org/,,
Goldstar,http://publications.csail.mit.edu/lcs/pubs/pdf/MIT-LCS-TR-070.pdf,,
Goldstart,http://publications.csail.mit.edu/lcs/pubs/pdf/MIT-LCS-TR-070.pdf,,
Google BigQuery,http://developers.google.com/bigquery/,,
Google BigTable,http://dl.acm.org/citation.cfm?id=1267323,,
Google F1,http://dl.acm.org/citation.cfm?id=2213954,,Built on Spanner
Google Search Appliance,http://www.google.com/enterprise/search/campaigns/gsa7.html,,
Google Spanner,http://dl.acm.org/citation.cfm?id=2387905,,
GoshawkDB,https://goshawkdb.io,,
GraphBase,http://graphbase.net/,,
Greenplum,http://www.gopivotal.com/big-data/pivotal-greenplum-database,,
GridDB,http://www.griddb.org,,
GridGain,http://www.gridgain.com/,,
H-Store,http://hstore.cs.brown.edu/,,
H2,http://www.h2database.com/,,
HBase,http://hbase.apache.org/,,
Hadapt,http://hadapt.com/,,
Haixun,http://www.amazon.com/real-time-database-management-application-development/dp/7512360703,,
HamsterDB,http://hamsterdb.com/,,
HanoiDB,https://github.com/krestenkrab/hanoidb,,
HarperDB,http://www.harperdb.io/,,
Hazelcast,http://www.hazelcast.com/,,
HerdDB,https://herddb.org/,,
Heroic,https://spotify.github.io/heroic/#!/index,,
Hibari,http://hibari.github.com/hibari-doc/,,
Hive,http://hive.apache.org/,,
HyPer,http://hyper-db.de/,,
HyperDex,http://hyperdex.org/,,
HyperGraphDB,http://www.hypergraphdb.org/,,
HyperSQL,http://hsqldb.org/,,
Hypertable,http://hypertable.org/,,
IBM System G,http://systemg.research.ibm.com/,,
IDMS,http://www.ca.com/us/products/detail/CA-IDMS.aspx,,
IMS,http://www.ibm.com/software/data/ims/ims/,,
ITTIA,http://www.ittia.com/,,
Impala,http://www.cloudera.com/content/cloudera/en/products-and-services/cdh/impala.html,,
Indica,http://www.indicasearch.com/,,
InfiniDB,http://infinidb.org/,,
InfiniSQL,http://www.infinisql.org/,,
Infinispan,http://www.jboss.org/infinispan/,,
InfiniteGraph,http://objectivity.com/,,
Infinitum,http://infinitumdb.com/,,
InfluxDB,http://influxdb.org/,,
InfoFrame,http://www.nec.com/en/global/prod/infoframe/relationalstore/,,
InfoGrid,http://infogrid.org/,,
Infobright,http://www.infobright.com/,,
Informix,http://www.ibm.com/software/data/informix/,,
